filer_cik,filer_name,filing_date,entity_cik,entity_name,entity_ticker,mention_count,relationships
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2010-12-31,37996,"FORD MOTOR CO",F-PB,1,supplier
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2011-12-31,37996,"FORD MOTOR CO",F-PB,2,investment,mentioned
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2012-12-31,37996,"FORD MOTOR CO",F-PB,2,investment,customer
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2013-12-31,37996,"FORD MOTOR CO",F-PB,2,investment,customer
0000003453,"ALEXANDER & BALDWIN INC",2009-12-31,1545654,"Alexander & Baldwin, Inc.",ALEX,1,mentioned
0000003453,"ALEXANDER & BALDWIN INC",2009-12-31,1584549,"Village Farms International, Inc.",VFF,1,joint-venture
0000003453,"ALEXANDER & BALDWIN INC",2010-12-31,1545654,"Alexander & Baldwin, Inc.",ALEX,1,supplier
0000003453,"ALEXANDER & BALDWIN INC",2011-12-31,1545654,"Alexander & Baldwin, Inc.",ALEX,7,contract,mentioned
0000003499,"ALEXANDERS INC",2009-12-31,1981546,"Commercial Bancgroup, Inc.",CBK,2,affiliate,mentioned
0000003499,"ALEXANDERS INC",2009-12-31,1618755,"Restaurant Brands International Limited Partnership",RSTRF,1,mentioned
0000003499,"ALEXANDERS INC",2009-12-31,774415,"King Resources, Inc.",KRFG,1,mentioned
0000003499,"ALEXANDERS INC",2009-12-31,899689,"VORNADO REALTY TRUST",VNO-PN,1,mentioned
0000003499,"ALEXANDERS INC",2010-12-31,1981546,"Commercial Bancgroup, Inc.",CBK,2,affiliate,mentioned
0000003499,"ALEXANDERS INC",2010-12-31,1618755,"Restaurant Brands International Limited Partnership",RSTRF,1,mentioned
0000003499,"ALEXANDERS INC",2010-12-31,774415,"King Resources, Inc.",KRFG,1,mentioned
0000003499,"ALEXANDERS INC",2010-12-31,899689,"VORNADO REALTY TRUST",VNO-PN,1,mentioned
0000003499,"ALEXANDERS INC",2011-12-31,1981546,"Commercial Bancgroup, Inc.",CBK,2,mentioned,affiliate
0000003499,"ALEXANDERS INC",2011-12-31,1618755,"Restaurant Brands International Limited Partnership",RSTRF,1,mentioned
0000003499,"ALEXANDERS INC",2011-12-31,899689,"VORNADO REALTY TRUST",VNO-PN,1,mentioned
0000003499,"ALEXANDERS INC",2012-12-31,1981546,"Commercial Bancgroup, Inc.",CBK,2,mentioned
0000003499,"ALEXANDERS INC",2012-12-31,1618755,"Restaurant Brands International Limited Partnership",RSTRF,1,mentioned
0000003499,"ALEXANDERS INC",2012-12-31,899689,"VORNADO REALTY TRUST",VNO-PN,1,mentioned
0000003499,"ALEXANDERS INC",2013-12-31,1981546,"Commercial Bancgroup, Inc.",CBK,2,mentioned
0000003499,"ALEXANDERS INC",2013-12-31,1618755,"Restaurant Brands International Limited Partnership",RSTRF,1,mentioned
0000003499,"ALEXANDERS INC",2013-12-31,899689,"VORNADO REALTY TRUST",VNO-PN,1,mentioned
0000003570,"CHENIERE ENERGY INC",2009-12-31,3570,"Cheniere Energy, Inc.",LNG,6,affiliate,mentioned,partner
0000003570,"CHENIERE ENERGY INC",2009-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,3,contract
0000003570,"CHENIERE ENERGY INC",2009-12-31,1506307,"KINDER MORGAN, INC.",EP-PC,1,partner
0000003570,"CHENIERE ENERGY INC",2009-12-31,313807,"BP PLC",BP,1,competitor
0000003570,"CHENIERE ENERGY INC",2009-12-31,2079706,"Mitsubishi Gas Chemical Company, Inc./ADR",MBGCF,1,affiliate
0000003570,"CHENIERE ENERGY INC",2009-12-31,844551,"WOODSIDE ENERGY GROUP LTD",WOPEF,1,customer
0001383650,"Cheniere Energy Partners, L.P.",2009-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,4,partner
0001383650,"Cheniere Energy Partners, L.P.",2009-12-31,3570,"Cheniere Energy, Inc.",LNG,3,mentioned,contract,partner
0001383650,"Cheniere Energy Partners, L.P.",2009-12-31,1230869,"ASA Gold & Precious Metals Ltd",ASA,1,partner
0001383650,"Cheniere Energy Partners, L.P.",2009-12-31,313807,"BP PLC",BP,1,competitor
0001379714,"Sabine Pass LNG, L.P.",2009-12-31,3570,"Cheniere Energy, Inc.",LNG,4,partner,mentioned
0001379714,"Sabine Pass LNG, L.P.",2009-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,2,partner
0001379714,"Sabine Pass LNG, L.P.",2009-12-31,313807,"BP PLC",BP,1,competitor
0000003570,"CHENIERE ENERGY INC",2010-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,4,contract,partner
0000003570,"CHENIERE ENERGY INC",2010-12-31,3570,"Cheniere Energy, Inc.",LNG,3,mentioned
0000003570,"CHENIERE ENERGY INC",2010-12-31,19617,"JPMORGAN CHASE & CO",JPM-PD,2,supplier
0000003570,"CHENIERE ENERGY INC",2010-12-31,1506307,"KINDER MORGAN, INC.",EP-PC,1,partner
0000003570,"CHENIERE ENERGY INC",2011-12-31,3570,"Cheniere Energy, Inc.",LNG,6,affiliate,mentioned,partner
0000003570,"CHENIERE ENERGY INC",2011-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,5,partner,contract
0000003570,"CHENIERE ENERGY INC",2011-12-31,1506307,"KINDER MORGAN, INC.",EP-PC,1,partner
0000003570,"CHENIERE ENERGY INC",2011-12-31,37996,"FORD MOTOR CO",F-PB,1,mentioned
0000003570,"CHENIERE ENERGY INC",2012-12-31,3570,"Cheniere Energy, Inc.",LNG,3,mentioned,partner
0000003570,"CHENIERE ENERGY INC",2012-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,3,partner,contract
0000003570,"CHENIERE ENERGY INC",2012-12-31,1506307,"KINDER MORGAN, INC.",EP-PC,1,partner
0000003570,"CHENIERE ENERGY INC",2013-12-31,1383650,"Cheniere Energy Partners, L.P.",CQP,10,partner,contract
0000003570,"CHENIERE ENERGY INC",2013-12-31,3570,"Cheniere Energy, Inc.",LNG,8,partner,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2011-09-30,4127,"SKYWORKS SOLUTIONS, INC.",SWKS,2,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2012-09-28,4127,"SKYWORKS SOLUTIONS, INC.",SWKS,2,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2012-09-28,858877,"CISCO SYSTEMS, INC.",CSCO,1,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2012-09-28,1018724,"AMAZON COM INC",AMZN,1,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2012-09-28,789019,"MICROSOFT CORP",MSFT,1,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2013-09-27,4127,"SKYWORKS SOLUTIONS, INC.",SWKS,2,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2013-09-27,1018724,"AMAZON COM INC",AMZN,1,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2013-09-27,1065280,"NETFLIX INC",NFLX,1,mentioned
0000004127,"SKYWORKS SOLUTIONS, INC.",2013-09-27,789019,"MICROSOFT CORP",MSFT,1,mentioned
0000004187,"INDUSTRIAL SERVICES OF AMERICA INC /FL",2012-12-31,1297341,"Kentucky First Federal Bancorp",KFFB,2,partner
0000004457,"AMERCO /NV/",2010-03-31,1839154,"Nevada King Gold Corp.",NKGFF,1,mentioned
0000004457,"AMERCO /NV/",2010-03-31,37996,"FORD MOTOR CO",F-PB,1,acquisition
0000004457,"AMERCO /NV/",2011-03-31,1839154,"Nevada King Gold Corp.",NKGFF,1,mentioned
0000004457,"AMERCO /NV/",2011-03-31,37996,"FORD MOTOR CO",F-PB,1,supplier
0000004457,"AMERCO /NV/",2012-03-31,1839154,"Nevada King Gold Corp.",NKGFF,1,mentioned
0000004457,"AMERCO /NV/",2012-03-31,37996,"FORD MOTOR CO",F-PB,1,supplier
0000004457,"AMERCO /NV/",2013-03-31,37996,"FORD MOTOR CO",F-PB,1,supplier
0000004457,"AMERCO /NV/",2013-03-31,1839154,"Nevada King Gold Corp.",NKGFF,1,mentioned
0000004457,"AMERCO /NV/",2014-03-31,37996,"FORD MOTOR CO",F-PB,1,supplier
0000004457,"AMERCO /NV/",2014-03-31,1839154,"Nevada King Gold Corp.",NKGFF,1,mentioned
0000004515,"AMERICAN AIRLINES INC",2009-12-31,12927,"BOEING CO",BA,25,mentioned,affiliate,contract,investment
0000004515,"AMERICAN AIRLINES INC",2009-12-31,6201,"American Airlines Group Inc.",AAL,9,contract
0000004515,"AMERICAN AIRLINES INC",2009-12-31,1704715,"Alpha Metallurgical Resources, Inc.",AMR,2,affiliate
0000004515,"AMERICAN AIRLINES INC",2009-12-31,37996,"FORD MOTOR CO",F-PB,1,contract
0000004515,"AMERICAN AIRLINES INC",2012-12-31,12927,"BOEING CO",BA,42,mentioned,contract,supplier-dependency
0000004515,"AMERICAN AIRLINES INC",2012-12-31,6201,"American Airlines Group Inc.",AAL,23,contract
0000004515,"AMERICAN AIRLINES INC",2012-12-31,1704715,"Alpha Metallurgical Resources, Inc.",AMR,4,investment,affiliate,mentioned
0000004515,"AMERICAN AIRLINES INC",2012-12-31,1378580,"Airbus SE/ADR",EADSF,1,contract
0000004904,"AMERICAN ELECTRIC POWER CO INC",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000006879,"APPALACHIAN POWER CO",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000092487,"SOUTHWESTERN ELECTRIC POWER CO",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000022198,"COLUMBUS SOUTHERN POWER CO /OH/",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000081027,"PUBLIC SERVICE CO OF OKLAHOMA",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000050172,"INDIANA MICHIGAN POWER CO",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000073986,"OHIO POWER CO",2009-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004904,"AMERICAN ELECTRIC POWER CO INC",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000092487,"SOUTHWESTERN ELECTRIC POWER CO",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000006879,"APPALACHIAN POWER CO",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000081027,"PUBLIC SERVICE CO OF OKLAHOMA",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000022198,"COLUMBUS SOUTHERN POWER CO /OH/",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000073986,"OHIO POWER CO",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000050172,"INDIANA MICHIGAN POWER CO",2010-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004904,"AMERICAN ELECTRIC POWER CO INC",2011-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004904,"AMERICAN ELECTRIC POWER CO INC",2012-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004904,"AMERICAN ELECTRIC POWER CO INC",2012-12-31,1376986,"Tennessee Valley Authority",TVE,1,contract
0000004904,"AMERICAN ELECTRIC POWER CO INC",2013-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004904,"AMERICAN ELECTRIC POWER CO INC",2013-12-31,1376986,"Tennessee Valley Authority",TVE,1,contract
0000004977,"AFLAC INC",2012-12-31,19617,"JPMORGAN CHASE & CO",JPM-PD,2,mentioned,affiliate
0000004977,"AFLAC INC",2012-12-31,2079706,"Mitsubishi Gas Chemical Company, Inc./ADR",MBGCF,2,affiliate
0000004977,"AFLAC INC",2012-12-31,37996,"FORD MOTOR CO",F-PB,2,mentioned,investment
0000004977,"AFLAC INC",2012-12-31,946770,"DEUTSCHE TELEKOM AG",DTEGF,1,partner
0000004977,"AFLAC INC",2012-12-31,40545,"GENERAL ELECTRIC CO",GE,1,partner
0000004977,"AFLAC INC",2012-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004977,"AFLAC INC",2012-12-31,1160106,"Lloyds Banking Group plc",LYG,1,mentioned
0000004977,"AFLAC INC",2013-12-31,19617,"JPMORGAN CHASE & CO",JPM-PD,1,mentioned
0000004977,"AFLAC INC",2013-12-31,2079706,"Mitsubishi Gas Chemical Company, Inc./ADR",MBGCF,1,affiliate
0000004977,"AFLAC INC",2013-12-31,946770,"DEUTSCHE TELEKOM AG",DTEGF,1,mentioned
0000004977,"AFLAC INC",2013-12-31,312070,"BARCLAYS BANK PLC",VXX,1,mentioned
0000004977,"AFLAC INC",2013-12-31,1160106,"Lloyds Banking Group plc",LYG,1,mentioned
0000005513,"Unum Group",2011-12-31,5513,"Unum Group",UNM,12,mentioned,contract,affiliate,supplier-dependency
0000005513,"Unum Group",2012-12-31,5513,"Unum Group",UNM,10,mentioned,contract,supplier-dependency,affiliate
0000005513,"Unum Group",2013-12-31,5513,"Unum Group",UNM,12,mentioned,contract,supplier-dependency,affiliate
0000006201,"AMR CORP",2009-12-31,12927,"BOEING CO",BA,25,mentioned,affiliate,contract,investment
0000006201,"AMR CORP",2009-12-31,6201,"American Airlines Group Inc.",AAL,9,contract
0000006201,"AMR CORP",2009-12-31,37996,"FORD MOTOR CO",F-PB,1,contract
0000006201,"AMR CORP",2009-12-31,1704715,"Alpha Metallurgical Resources, Inc.",AMR,1,contract
0000006201,"AMR CORP",2012-12-31,12927,"BOEING CO",BA,45,mentioned,contract,supplier-dependency
0000006201,"AMR CORP",2012-12-31,6201,"American Airlines Group Inc.",AAL,25,contract
0000006201,"AMR CORP",2012-12-31,1704715,"Alpha Metallurgical Resources, Inc.",AMR,2,investment,mentioned
0000006201,"AMR CORP",2012-12-31,1378580,"Airbus SE/ADR",EADSF,1,contract
0000006201,"American Airlines Group Inc.",2013-12-31,12927,"BOEING CO",BA,27,contract,mentioned,acquisition,investment
0000006201,"American Airlines Group Inc.",2013-12-31,6201,"American Airlines Group Inc.",AAL,8,contract,mentioned,acquisition,affiliate
0000006201,"American Airlines Group Inc.",2013-12-31,1378580,"Airbus SE/ADR",EADSF,4,mentioned
