filename,filer_name,filer_cik,filing_date,filing_type,entity_name,entity_cik,relationships,context_preview
0000037996-25-000009.txt,FORD MOTOR CO,0000037996,2025-02-05,8-K,Lucid Diagnostics Inc.,1799011,mentioned,"s. House served as the Chief Financial Officer of Lucid Motors from May 2021 until December 2023. Pr..."
0000092380-25-000003.txt,SOUTHWEST AIRLINES CO,0000092380,2025-01-07,8-K,BOEING CO,12927,supplier;mentioned,"um seating; (iii) the Company's dependence on The Boeing Company (“Boeing”) and Boeing suppliers wit..."
0000092380-25-000059.txt,SOUTHWEST AIRLINES CO,0000092380,2025-03-11,8-K,BOEING CO,12927,supplier,"s of operations; (iv) the Company's dependence on Boeing and Boeing suppliers with respect to the Co..."
0000097745-25-000007.txt,THERMO FISHER SCIENTIFIC INC.,0000097745,2025-02-19,8-K,CVS HEALTH Corp,64803,mentioned,"e former president and chief executive officer of CVS Health Corporation (NYSE: CVS) (“CVS Health”) ..."
0000773840-25-000014.txt,HONEYWELL INTERNATIONAL INC,0000773840,2025-02-14,8-K,GENERAL ELECTRIC CO,40545,mentioned," Company  Mr. Stepniak spent nearly 20 years with General Electric ("GE") in global finance leadersh..."
0001090727-25-000028.txt,UNITED PARCEL SERVICE INC,0001090727,2025-03-03,8-K,Aptiv PLC,1521332,mentioned,"rk is the Chairman and Chief Executive Officer of Aptiv PLC. If elected to the Board by shareowners ..."
0001140361-25-006525.txt,EMERSON ELECTRIC CO,0000032604,2025-02-25,8-K,GOLDMAN SACHS GROUP INC,886982,mentioned,"rd Provisions”)) with J.P. Morgan Securities plc  Goldman Sachs & Co. LLC and Merrill Lynch Internat..."
0001193125-25-020881.txt,Salesforce, Inc.,0001108524,2025-02-05,8-K,Vertiv Holdings Co,1674101,mentioned," Alphabet Inc.  Honeywell International Inc.  and Vertiv Holdings Co. Ms. Washington is a certified ..."
0001193125-25-020881.txt,Salesforce, Inc.,0001108524,2025-02-05,8-K,GILEAD SCIENCES, INC.,882095,mentioned," new role. Ms. Washington served as an advisor to Gilead Sciences  Inc.  a biopharmaceutical company..."
0001193125-25-023650.txt,SOUTHWEST AIRLINES CO,0000092380,2025-02-04,8-K,United Airlines Holdings, Inc.,100517,mentioned,"as Senior Vice President  Technical Operations at United Airlines  Inc. (“United Airlines”) from 201..."
0001193125-25-028035.txt,SOUTHWEST AIRLINES CO,0000092380,2025-02-17,8-K,BOEING CO,12927,supplier,"f operations; (v) the Company’s dependence on The Boeing Company (“Boeing”) and Boeing suppliers wit..."
0001193125-25-028111.txt,SHERWIN WILLIAMS CO,0000089800,2025-02-18,8-K,TARGET CORP,27419,mentioned," S.A. (the “Seller”) and BASF Coatings S.A. (the “Target Company”)  both wholly owned subsidiaries o..."
0001193125-25-036773.txt,JOHNSON & JOHNSON,0000200406,2025-02-26,8-K,GOLDMAN SACHS GROUP INC,886982,mentioned,"Markets Limited  Deutsche Bank AG  London Branch  Goldman Sachs & Co. LLC and the several underwrite..."
0001193125-25-050929.txt,PayPal Holdings, Inc.,0001633917,2025-03-10,8-K,MICROSOFT CORP,789019,mentioned,"s the President of Identity and Network Access at Microsoft. Ms. Chik fills a vacancy created by an ..."
0001193125-25-065576.txt,T-Mobile US, Inc.,0001283699,2025-03-27,8-K,MORGAN STANLEY,895421,mentioned,"lays Capital Inc.  Deutsche Bank Securities Inc.  Morgan Stanley & Co. LLC and UBS Securities LLC ac..."
0001193125-25-067150.txt,American Airlines Group Inc.,0000006201,2025-03-24,8-K,BARCLAYS BANK PLC,312070,mentioned,")  with  among others  the lenders party thereto  Barclays Bank PLC  as administrative agent  and Wi..."
0001467858-25-000063.txt,General Motors Co,0001467858,2025-02-26,8-K,BARCLAYS BANK PLC,312070,mentioned,"collectively  the “ASR Agreements”)  with each of Barclays Bank PLC (“Barclays”) and J.P. Morgan Cha..."
0001874178-25-000009.txt,Rivian Automotive, Inc. / DE,0001874178,2025-03-03,8-K,Tesla, Inc.,1318605,mentioned,"any  Ms. Venkataratnam  age 51  spent 11 years at Tesla  Inc.  where she most recently served as Vic..."
