filename,filer_name,filer_cik,filing_date,filing_type,entity_name,entity_cik,entity_ticker,relationships,relationship_counts,context_count,sections,materiality_indicators,monetary_values,source_filing,bidirectional
0000012208-25-000007.txt_mentions_sartorius-ag-adr_supplier-mentioned-customer-investment.txt,"BIO-RAD LABORATORIES, INC.",0000012208,2024-12-31,10-K,Sartorius AG/ADR,1715801,SOAGY,"supplier,mentioned,customer,investment","supplier:2,mentioned:5,customer:1,investment:1",9,"risk-factors,unknown",,$2.68 billion; $1.26 billion; $12.5 million; $6.8 million; 2.68 billion ; 1.26 billion ; 12.5 million ; 6.8 million ; $90.3 million; $106.5 million; 90.3 million ; 106.5 million ,resources/filings_large_sample/0000012208-25-000007.txt,false
0000012208-25-000007.txt_mentions_nio-inc_mentioned.txt,"BIO-RAD LABORATORIES, INC.",0000012208,2024-12-31,10-K,NIO Inc.,1736541,NIO,mentioned,mentioned:1,1,unknown,,,resources/filings_large_sample/0000012208-25-000007.txt,false
0000012208-25-000007.txt_mentions_qiagen-n-v_mentioned.txt,"BIO-RAD LABORATORIES, INC.",0000012208,2024-12-31,10-K,QIAGEN N.V.,1015820,QGEN,mentioned,mentioned:1,1,unknown,major,,resources/filings_large_sample/0000012208-25-000007.txt,false
0000025232-24-000004.txt_mentions_morgan-stanley_mentioned.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,MORGAN STANLEY,895421,MS-PQ,mentioned,mentioned:1,1,unknown,,,resources/filings_large_sample/0000025232-24-000004.txt,false
0000025232-24-000004.txt_mentions_amazon-com-inc_mentioned.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,AMAZON COM INC,1018724,AMZN,mentioned,mentioned:1,1,unknown,,"$ 59,942 ",resources/filings_large_sample/0000025232-24-000004.txt,false
0000025232-24-000004.txt_mentions_meta-platforms-inc_mentioned.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,"Meta Platforms, Inc.",1326801,META,mentioned,mentioned:1,1,unknown,,"$ 59,942 ",resources/filings_large_sample/0000025232-24-000004.txt,false
0000025232-24-000004.txt_mentions_canadian-pacific-kansas-city-ltd-cn_partner.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,CANADIAN PACIFIC KANSAS CITY LTD/CN,16875,CP,partner,partner:1,1,unknown,,,resources/filings_large_sample/0000025232-24-000004.txt,false
0000027419-23-000015.txt_mentions_apple-inc_partner-mentioned.txt,TARGET CORP,0000027419,2023-01-28,10-K,Apple Inc.,320193,AAPL,"partner,mentioned","partner:1,mentioned:1",2,unknown,,,resources/filings_large_sample/0000027419-23-000015.txt,false
0000027419-23-000015.txt_mentions_amazon-com-inc_mentioned.txt,TARGET CORP,0000027419,2023-01-28,10-K,AMAZON COM INC,1018724,AMZN,mentioned,mentioned:1,1,unknown,,,resources/filings_large_sample/0000027419-23-000015.txt,false
0000027419-23-000015.txt_mentions_best-buy-co-inc_mentioned.txt,TARGET CORP,0000027419,2023-01-28,10-K,BEST BUY CO INC,764478,BBY,mentioned,mentioned:1,1,unknown,,,resources/filings_large_sample/0000027419-23-000015.txt,false
