filename,filer_name,filer_cik,filing_date,filing_type,entity_name,entity_cik,entity_ticker,relationships,relationship_counts,context_count,sections,materiality_indicators,monetary_values,source_filing,bidirectional
amazon-com-inc_mentions_rivian-automotive-inc-de_investment.txt,AMAZON COM INC,1018724,2024-12-31,10-K,"Rivian Automotive, Inc. / DE",1874178,,investment,investment:3,3,"unknown,business",,$797 million; $22.1 billion; $4.6 billion; 4.6 billion ; 797 million ,resources/filings_sample/0001018724-25-000004.txt,true
rivian-automotive-inc-de_mentions_amazon-com-inc_mentioned-affiliate-customer.txt,"Rivian Automotive, Inc. / DE",1874178,2024-12-31,10-K,AMAZON COM INC,1018724,,"mentioned,affiliate,customer","mentioned:11,affiliate:2,customer:1",14,"supply-chain,unknown,commitments","principal,significant","$343 million; $823 million; $1,040 million; 1,040 million ; $60 million; $63 million; $94 million",resources/filings_sample/0001874178-25-000007.txt,true
uber-technologies-inc_mentions_lyft-inc_mentioned.txt,"Uber Technologies, Inc",1543151,2024-12-31,10-K,"Lyft, Inc.",1759509,,mentioned,mentioned:7,7,unknown,,,resources/filings_sample/0001543151-25-000008.txt,true
lyft-inc_mentions_uber-technologies-inc_mentioned.txt,"Lyft, Inc.",1759509,2024-12-31,10-K,"Uber Technologies, Inc",1543151,,mentioned,mentioned:4,4,unknown,,,resources/filings_sample/0001759509-25-000025.txt,true
advanced-micro-devices-inc_mentions_intel-corp_mentioned-supplier.txt,ADVANCED MICRO DEVICES INC,2488,2024-12-28,10-K,INTEL CORP,50863,,"mentioned,supplier","mentioned:6,supplier:3",9,unknown,"significant,primary",,resources/filings_sample/0000002488-25-000012.txt,true
intel-corp_mentions_advanced-micro-devices-inc_mentioned.txt,INTEL CORP,50863,2024-12-28,10-K,ADVANCED MICRO DEVICES INC,2488,,mentioned,mentioned:1,1,unknown,,,resources/filings_sample/0000050863-25-000009.txt,true
boeing-co_mentions_lockheed-martin-corp_joint-venture-mentioned.txt,BOEING CO,12927,2024-12-31,10-K,LOCKHEED MARTIN CORP,936468,,"joint-venture,mentioned","joint-venture:1,mentioned:2",3,"supply-chain,unknown",,,resources/filings_sample/0000012927-25-000015.txt,true
lockheed-martin-corp_mentions_boeing-co_mentioned.txt,LOCKHEED MARTIN CORP,936468,2024-12-31,10-K,BOEING CO,12927,,mentioned,mentioned:2,2,unknown,,,resources/filings_sample/0000936468-25-000009.txt,true
rivian-automotive-inc-de_mentions_ford-motor-co_affiliate.txt,"Rivian Automotive, Inc. / DE",1874178,2024-12-31,10-K,FORD MOTOR CO,37996,,affiliate,affiliate:1,1,unknown,principal,,resources/filings_sample/0001874178-25-000007.txt,true
ford-motor-co_mentions_rivian-automotive-inc-de_investment.txt,FORD MOTOR CO,37996,2024-12-31,10-K,"Rivian Automotive, Inc. / DE",1874178,,investment,investment:4,4,unknown,,$6.3 billion; 6.3 billion ; $7.4 billion; $2.6 billion; $2.3 billion; $1.4 ; 7.4 billion ; 2.6 billion ; 2.3 billion ; $31 million; 31 million ,resources/filings_sample/0000037996-25-000013.txt,true
cummins-inc_mentions_paccar-inc_supplier.txt,CUMMINS INC,26172,2024-12-31,10-K,PACCAR INC,75362,,supplier,supplier:1,1,supply-chain,,,resources/filings_sample/0000026172-25-000007.txt,true
paccar-inc_mentions_cummins-inc_acquisition-mentioned-partner.txt,PACCAR INC,75362,2024-12-31,10-K,CUMMINS INC,26172,,"acquisition,mentioned,partner","acquisition:1,mentioned:1,partner:1",3,"supply-chain,unknown",significant,,resources/filings_sample/0000950170-25-023145.txt,true
