filename,filer_name,filer_cik,filing_date,filing_type,entity_name,entity_cik,entity_ticker,relationships,relationship_counts,context_count,sections,materiality_indicators,monetary_values,source_filing,bidirectional
0000012208-25-000007.txt_mentions_sartorius-ag-adr_supplier-investment-affiliate-mentioned-customer-s.txt,"BIO-RAD LABORATORIES, INC.",0000012208,2024-12-31,10-K,Sartorius AG/ADR,1715801,SOAGY,"supplier,investment,affiliate,mentioned,customer,supplier-dependency","supplier:2,investment:2,affiliate:1,mentioned:1,customer:1,supplier-dependency:1",8,"risk-factors,unknown",,$2.68 billion; $1.26 billion; $12.5 million; $6.8 million; 2.68 billion ; 1.26 billion ; 12.5 million ; 6.8 million ; $90.3 million; $106.5 million; 90.3 million ; 106.5 million ,resources/filings_large_sample/0000012208-25-000007.txt,false
0000012208-25-000007.txt_mentions_qiagen-n-v_competitor.txt,"BIO-RAD LABORATORIES, INC.",0000012208,2024-12-31,10-K,QIAGEN N.V.,1015820,QGEN,competitor,competitor:1,1,unknown,major,,resources/filings_large_sample/0000012208-25-000007.txt,false
0000025232-24-000004.txt_mentions_amazon-com-inc_supplier.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,AMAZON COM INC,1018724,AMZN,supplier,supplier:1,1,unknown,,"$ 59,942 ",resources/filings_large_sample/0000025232-24-000004.txt,false
0000025232-24-000004.txt_mentions_meta-platforms-inc_supplier.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,"Meta Platforms, Inc.",1326801,META,supplier,supplier:1,1,unknown,,"$ 59,942 ",resources/filings_large_sample/0000025232-24-000004.txt,false
0000025232-24-000004.txt_mentions_canadian-pacific-kansas-city-ltd-cn_partner.txt,COUSINS PROPERTIES INC,0000025232,2023-12-31,10-K,CANADIAN PACIFIC KANSAS CITY LTD/CN,16875,CP,partner,partner:1,1,unknown,,,resources/filings_large_sample/0000025232-24-000004.txt,false
0000034903-23-000020.txt_mentions_tesla-inc_mentioned.txt,FEDERAL REALTY INVESTMENT TRUST,0000034903,2022-12-31,10-K,"Tesla, Inc.",1318605,TSLA,mentioned,mentioned:1,1,unknown,,$26.68 ; $49.05 ,resources/filings_large_sample/0000034903-23-000020.txt,false
0000034903-23-000020.txt_mentions_apple-inc_mentioned.txt,FEDERAL REALTY INVESTMENT TRUST,0000034903,2022-12-31,10-K,Apple Inc.,320193,AAPL,mentioned,mentioned:1,1,unknown,,$21.21 ; $56.39 ; $41.60 ,resources/filings_large_sample/0000034903-23-000020.txt,false
0000034903-23-000020.txt_mentions_porsche-automobil-holding-se-adr_mentioned.txt,FEDERAL REALTY INVESTMENT TRUST,0000034903,2022-12-31,10-K,Porsche Automobil Holding SE / ADR,1450346,POAHF,mentioned,mentioned:1,1,unknown,,$19.04 ; $42.68 ,resources/filings_large_sample/0000034903-23-000020.txt,false
0000040729-25-000006.txt_mentions_stellantis-n-v_major-customer-investment-customer.txt,Ally Financial Inc.,0000040729,2024-12-31,10-K,Stellantis N.V.,1605484,STLA,"major-customer,investment,customer","major-customer:3,investment:1,customer:1",5,"unknown,signatures",significant,,resources/filings_large_sample/0000040729-25-000006.txt,false
0000040729-25-000006.txt_mentions_ubs-group-ag_acquisition.txt,Ally Financial Inc.,0000040729,2024-12-31,10-K,UBS Group AG,1610520,UBS,acquisition,acquisition:1,1,signatures,,,resources/filings_large_sample/0000040729-25-000006.txt,false
0000052827-23-000035.txt_mentions_pacific-airport-group_supplier.txt,RAYONIER INC,0000052827,2022-12-31,10-K,Pacific Airport Group,1347557,PAC,supplier,supplier:1,1,unknown,,,resources/filings_large_sample/0000052827-23-000035.txt,false
0000052827-23-000035.txt_mentions_rayonier-advanced-materials-inc_contract.txt,RAYONIER INC,0000052827,2022-12-31,10-K,RAYONIER ADVANCED MATERIALS INC.,1597672,RYAM,contract,contract:1,1,unknown,,,resources/filings_large_sample/0000052827-23-000035.txt,false
0000052827-23-000035.txt_mentions_csx-corp_supplier.txt,RAYONIER INC,0000052827,2022-12-31,10-K,CSX CORP,277948,CSX,supplier,supplier:1,1,unknown,,,resources/filings_large_sample/0000052827-23-000035.txt,false
0000060086-25-000036.txt_mentions_cna-financial-corp_affiliate-partner.txt,LOEWS CORP,0000060086,2024-12-31,10-K,CNA FINANCIAL CORP,21175,CNA,"affiliate,partner","affiliate:1,partner:1",2,unknown,,,resources/filings_large_sample/0000060086-25-000036.txt,false
0000060086-25-000036.txt_mentions_ni-holdings-inc_mentioned.txt,LOEWS CORP,0000060086,2024-12-31,10-K,"NI Holdings, Inc.",1681206,NODK,mentioned,mentioned:1,1,unknown,,$2.2 billion; 2.2 billion ,resources/filings_large_sample/0000060086-25-000036.txt,false
